model,num_second_level_models,table_size,train_workload,test_workload,model_size,build_time,test_workload_time
look_up_table_linear_model,100,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,115.14,58.4459
linear_model,200,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,79.1946,44.4874
weighted_linear_model,200,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,81.6792,49.9434
look_up_table_linear_model,200,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,145.45,58.0513
look_up_table_linear_model,200,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,142.062,57.1002
look_up_table_linear_model,200,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,147.925,57.8038
linear_model,500,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,164.423,43.2931
weighted_linear_model,500,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,173.595,49.6592
look_up_table_linear_model,500,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,235.58,58.1302
look_up_table_linear_model,500,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,234.262,57.6
look_up_table_linear_model,500,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,235.243,57.7975
linear_model,1000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,305.072,45.4243
weighted_linear_model,1000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,321.774,53.4431
look_up_table_linear_model,1000,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,379.597,57.146
look_up_table_linear_model,1000,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,380.058,58.0412
look_up_table_linear_model,1000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,381.63,58.9149
linear_model,2000,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,587.617,47.5474
weighted_linear_model,2000,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,104,618.691,49.8523
look_up_table_linear_model,2000,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,698.572,60.6729
look_up_table_linear_model,2000,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,697.4,59.2007
look_up_table_linear_model,2000,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.3,168,2275.23,72.3622
linear_model,10,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,27.77,37.0671
weighted_linear_model,10,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,29.5898,33.3091
look_up_table_linear_model,10,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,88.1522,36.5895
look_up_table_linear_model,10,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,93.5835,35.0073
look_up_table_linear_model,10,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,96.3048,39.1238
linear_model,50,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,38.7216,31.8263
weighted_linear_model,50,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,40.9199,31.7259
look_up_table_linear_model,50,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,99.1414,34.8546
look_up_table_linear_model,50,5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,102.073,35.8686
look_up_table_linear_model,50,10,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,99.6543,35.9588
linear_model,100,NA,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,51.2425,22.7396
weighted_linear_model,100,NA,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,104,54.2577,27.0085
look_up_table_linear_model,100,3,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,workloads/wiki_ts_200M_uint64_workload200000k_alpha1.5,168,118.114,35.2878
